AEP CENTRAL,05/1/2015,high,12,4.774
AEP CENTRAL,05/1/2015,high,18,4.966
AEP CENTRAL,05/1/2015,high,24,4.886
AEP CENTRAL,05/1/2015,high,36,4.992
CNP,06/1/2015,low,6,5.474
CNP,06/1/2015,low,9,5.22
CNP,06/1/2015,low,12,5.121
CNP,06/1/2015,low,18,5.401
CNP,06/1/2015,low,24,5.306
CNP,06/1/2015,low,36,5.469
CNP,06/1/2015,medium,6,5.246
CNP,06/1/2015,medium,9,5.026
CNP,06/1/2015,medium,12,4.937
CNP,06/1/2015,medium,18,5.191
CNP,06/1/2015,medium,24,5.116
CNP,06/1/2015,medium,36,5.272
CNP,06/1/2015,high,6,4.944
CNP,06/1/2015,high,9,4.753
CNP,06/1/2015,high,12,4.693
CNP,06/1/2015,high,18,4.913
CNP,06/1/2015,high,24,4.861
CNP,06/1/2015,high,36,5.009
TNMP,06/1/2015,low,6,5.544
TNMP,06/1/2015,low,9,5.296
TNMP,06/1/2015,low,12,5.205
TNMP,06/1/2015,low,18,5.482
TNMP,06/1/2015,low,24,5.394
TNMP,06/1/2015,low,36,5.559
TNMP,06/1/2015,medium,6,5.314
TNMP,06/1/2015,medium,9,5.101
TNMP,06/1/2015,medium,12,5.02
TNMP,06/1/2015,medium,18,5.271
TNMP,06/1/2015,medium,24,5.202
TNMP,06/1/2015,medium,36,5.361
TNMP,06/1/2015,high,6,5.011
TNMP,06/1/2015,high,9,4.828
TNMP,06/1/2015,high,12,4.774
TNMP,06/1/2015,high,18,4.992
TNMP,06/1/2015,high,24,4.947
TNMP,06/1/2015,high,36,5.097
ONC,06/1/2015,low,6,5.369
ONC,06/1/2015,low,9,5.15
ONC,06/1/2015,low,12,5.018
ONC,06/1/2015,low,18,5.285
ONC,06/1/2015,low,24,5.19
ONC,06/1/2015,low,36,5.343
ONC,06/1/2015,medium,6,5.116
ONC,06/1/2015,medium,9,4.927
ONC,06/1/2015,medium,12,4.804
ONC,06/1/2015,medium,18,5.048
ONC,06/1/2015,medium,24,4.969
ONC,06/1/2015,medium,36,5.115
ONC,06/1/2015,high,6,4.859
ONC,06/1/2015,high,9,4.716
ONC,06/1/2015,high,12,4.614
ONC,06/1/2015,high,18,4.826
ONC,06/1/2015,high,24,4.773
ONC,06/1/2015,high,36,4.914
AEP NORTH,06/1/2015,low,6,5.536
AEP NORTH,06/1/2015,low,9,5.342
AEP NORTH,06/1/2015,low,12,5.249
AEP NORTH,06/1/2015,low,18,5.511
AEP NORTH,06/1/2015,low,24,5.437
AEP NORTH,06/1/2015,low,36,5.598
AEP NORTH,06/1/2015,medium,6,5.351
AEP NORTH,06/1/2015,medium,9,5.169
AEP NORTH,06/1/2015,medium,12,5.088
AEP NORTH,06/1/2015,medium,18,5.331
AEP NORTH,06/1/2015,medium,24,5.271
AEP NORTH,06/1/2015,medium,36,5.427
AEP NORTH,06/1/2015,high,6,5.144
AEP NORTH,06/1/2015,high,9,4.988
AEP NORTH,06/1/2015,high,12,4.923
AEP NORTH,06/1/2015,high,18,5.145
AEP NORTH,06/1/2015,high,24,5.1
AEP NORTH,06/1/2015,high,36,5.252
AEP CENTRAL,06/1/2015,low,6,5.807
AEP CENTRAL,06/1/2015,low,9,5.518
AEP CENTRAL,06/1/2015,low,12,5.318
AEP CENTRAL,06/1/2015,low,18,5.609
AEP CENTRAL,06/1/2015,low,24,5.46
AEP CENTRAL,06/1/2015,low,36,5.583
AEP CENTRAL,06/1/2015,medium,6,5.409
AEP CENTRAL,06/1/2015,medium,9,5.201
AEP CENTRAL,06/1/2015,medium,12,5.018
AEP CENTRAL,06/1/2015,medium,18,5.251
AEP CENTRAL,06/1/2015,medium,24,5.146
AEP CENTRAL,06/1/2015,medium,36,5.257
AEP CENTRAL,06/1/2015,high,6,5.102
AEP CENTRAL,06/1/2015,high,9,4.941
AEP CENTRAL,06/1/2015,high,12,4.787
AEP CENTRAL,06/1/2015,high,18,4.98
AEP CENTRAL,06/1/2015,high,24,4.906
AEP CENTRAL,06/1/2015,high,36,5.009
